 serve xizmat_qilish
 several bir_qancha
 shocking hayratda_qoldiradigan
 snack gazak
 sour nordon
 sparklingwater Gazli_suv
 spice ziravorlar
 spicy achchiq
 spinach ismaloq
 strawberry qulupnay
 tagine tagin
 taste tami
 taste_buds tam_kurtaklari
 texture tekstura
 thick qalin
 tin qalay
 tobacco tamaki
 tomato pomidor
 toothpaste tish_pastasi
 transportation transport
 tube quvur
 useby tomonidan_foydalaning
 wasteful isrofgar
 active faol
 already allaqachon
 argument dalil
 assignment topshiriq
 believein ishon
 belongto tegishli
 bump zarba
 cancer saraton
 ceremony marosim
 cheek yonoq
 chest kokrak_qafasi
 chin iyak
 clap qarsak_chalish
 congratulate tabriklamoq
 consistof dan_iborat
 cycling velosport
 depend_(on) ga_bogliq
 depressed tushkunlikka_tushgan
 diabetes qandli_diabet
 diet parhez
 disease kasallik
 dream_of orzu_qilish
 easy oson
 elbow tirsak
 experiment tajriba
 fist musht
 fitness fitnes
 forehead peshona
 gentle muloyim
 germs germs
 graduation Bitiruv
 greet salomlashish
 greeting salomlashish
 handshake qol_siqish
 happen sodir_bolmoq
 health salomatlik
 hug quchoqlash
 impression taassurot
 alcoholic_drinks spirtli_ichimliklar
 apple_juice olma_sharbati
 bake pishirmoq
 best_before Saqlash_muddati
 bitter achchiq
 boiled qaynatilgan
 bottle butilka
 box quti
 can qila_olmoq
 cardboard karton
 carton karton
 charge zaryad
 chocolate shokolad
 consumer istemolchilar
 curry kori
 dessert shirinlik
 different farq
 dish taom
 doggybag it_sumkasi
 figure shakl
 flavour lazzat
 frozen muzlatilgan
 fry qovur
 funny kulgili
 herb ot
 honey asal
 jar banka
 kindof kabi_singari
 lamb qozichoq
 leave tark_eting
 left chap
 mark belgi
 olives zaytun
 packet paket
 plain oddiy
 preserve saqlash
 pretty yoqimtoy
 informal norasmiy
 junkfood nosoglom_taom
 kiss opish
 lip lab
 medical tibbiy
 mental_health ruhiy_salomatlik
 natural tabiiy
 nod boshirgadi
 painkiller ogriq_qoldiruvchi
 peace tinchlik
 philosophy falsafa
 press bosing
 reserve zaxira
 respect hurmat
 ridiculous kulgili
 rude qopol
 shake_hands qol_silkitish
 shoulder yelka
 sleeve yeng
 smile tabassum
 stick tayoq
 succeed_in muvaffaqiyatga_erishmoq
 thumb bosh_barmogi
 tongue til
 touch teginish
 trend trend
 virus virus
 weapon qurol
 weight_litfing ogirlikni_kotarish
 work_for uchun_ishlash
 luggage bagaj
 main_road Asosiy_yol
 petrol benzin
 planner rejalashtiruvchi
 pollution ifloslanish
 predict bashorat_qilish
 reality haqiqat
 registration_form royxatga_olish_shakli
 regular muntazam
 relaxed tinchlandi
 relaxing damolish
 reliable ishonchli
 remote masofaviy
 replace almashtiring
 self_catering oziga_xizmat_korsatish
 souvenir suvenir
 surprised hayron
 surprising hayratlanarli
 thermometer termometr
 tiring charchatuvchi
 track trek
 traffic_jam harakat_tirbandligi
 worried tashvishli
 worrying tashvishli
 achieve erishish
 after_school Maktabdan_keyin
 art sanat
 atmosphere atmosfera
 blossom gullash
 communication_skills aloqa_maxorati
 connection ulanish
 course kurs
 creatively ijodiy
 desicion qaror
 degree daraja
 diploma diplom
 economics iqtisodiyot
 education talim
 emotion hissiyot
 entrance_exam kirish_imtihoni
 explain tushuntirmoq
 fully_qualified toliq_malakali
 grade daraja
 history tarix
 imagination tasavvur
 ironing dazmollash
 languages tillar
 learning_skills organish_qobiliyatlari
 literature adabiyot
 map_reading xaritanioqish
